symbol,name,sector,impact,first_hop
CCI,Crown Castle,Real Estate,0.0012642449037972424,2
CARR,Carrier Global,Industrials,0.0012583293844982972,2
ALL,Allstate,Financials,0.0012566120776216,2
DGX,Quest Diagnostics,Health Care,0.0012299716173892158,2
AJG,Arthur J. Gallagher & Co.,Financials,0.0012078515576134058,2
KLAC,KLA Corporation,Information Technology,0.0011984677924033412,2
ALLE,Allegion,Industrials,0.0011935383714962787,2
EMR,Emerson Electric,Industrials,0.001177498053225408,2
CAH,Cardinal Health,Health Care,0.0011710091277083424,2
CAG,Conagra Brands,Consumer Staples,0.0011474318615198064,2
MCK,McKesson Corporation,Health Care,0.001129513742018572,2
ABT,Abbott Laboratories,Health Care,0.0011220673320713568,2
PSA,Public Storage,Real Estate,0.0011133772034016814,2
ROL,"Rollins, Inc.",Industrials,0.0010941048973184782,2
TER,Teradyne,Information Technology,0.0010841295228827875,2
PH,Parker Hannifin,Industrials,0.0010834325380300286,2
REG,Regency Centers,Real Estate,0.0010830923919608157,2
EQT,EQT Corporation,Energy,0.0010742584194070068,2
LYB,LyondellBasell,Materials,0.0010637872294610542,2
HIG,Hartford (The),Financials,0.0010573844743849063,2
MU,Micron Technology,Information Technology,0.0010492504602216729,2
LIN,Linde plc,Materials,0.0010338154705573804,2
ES,Eversource Energy,Utilities,0.0010133648209292487,2
COHR,Coherent Corp.,Information Technology,0.001011622131875271,2
FDX,FedEx,Industrials,0.001010764647180552,2
SYF,Synchrony Financial,Financials,0.0010042737905624805,2
BRO,Brown & Brown,Financials,0.0009986477511139953,2
AMAT,Applied Materials,Information Technology,0.000993401099167238,2
AON,Aon plc,Financials,0.0009883429381949535,2
CLX,Clorox,Consumer Staples,0.0009847193760608214,2
SBAC,SBA Communications,Real Estate,0.0009777328566889466,2
FCX,Freeport-McMoRan,Materials,0.0009736321117789592,2
KKR,KKR & Co.,Financials,0.0009555850405681824,2
FTV,Fortive,Industrials,0.0009091804779844499,2
TT,Trane Technologies,Industrials,0.0009059867285170294,2
AZO,AutoZone,Consumer Discretionary,0.0009012868592245168,2
YUM,Yum! Brands,Consumer Discretionary,0.0008840275924322553,2
MKC,McCormick & Company,Consumer Staples,0.0008812220342123171,2
NVDA,Nvidia,Information Technology,0.0008630824566555693,2
OKE,Oneok,Energy,0.0008550265668587991,2
VRT,Vertiv,Industrials,0.0008374583394664232,2
CRL,Charles River Laboratories,Health Care,0.0008339498627506219,2
ADI,Analog Devices,Information Technology,0.0008304881127689267,2
ICE,Intercontinental Exchange,Financials,0.0008274211058375225,2
TRGP,Targa Resources,Energy,0.0008241127799386132,2
URI,United Rentals,Industrials,0.0008220927910888663,2
TRV,Travelers Companies (The),Financials,0.0008219828814897531,2
CPT,Camden Property Trust,Real Estate,0.0008193367154612952,2
WMT,Walmart,Consumer Staples,0.0008182134241777365,2
HOOD,Robinhood Markets,Financials,0.0008167040521331092,2
TJX,TJX Companies,Consumer Discretionary,0.000811854738049533,2
CPB,Campbell's Company (The),Consumer Staples,0.0008109177052463851,2
TSN,Tyson Foods,Consumer Staples,0.000791316377264535,2
LITE,Lumentum,Information Technology,0.0007909720553581898,2
NEE,NextEra Energy,Utilities,0.0007901151314930145,2
ETN,Eaton Corporation,Industrials,0.0007890820666479678,2
WTW,Willis Towers Watson,Financials,0.0007810537546477783,2
CCL,Carnival,Consumer Discretionary,0.0007778170196613395,2
KHC,Kraft Heinz,Consumer Staples,0.0007624802752717801,2
LMT,Lockheed Martin,Industrials,0.0007605141358099062,2
HUBB,Hubbell Incorporated,Industrials,0.0007566523674966866,2
INVH,Invitation Homes,Real Estate,0.0007554354416674498,2
IVZ,Invesco,Financials,0.0007453910080995287,2
HRL,Hormel Foods,Consumer Staples,0.0007416289910282665,2
DAL,Delta Air Lines,Industrials,0.0007222924093944291,2
IBKR,Interactive Brokers,Financials,0.000715264051739348,2
HPE,Hewlett Packard Enterprise,Information Technology,0.000714769464496313,2
KDP,Keurig Dr Pepper,Consumer Staples,0.000709517770602867,2
CTRA,Coterra,Energy,0.0007076763984246069,2
NOC,Northrop Grumman,Industrials,0.0007069205813075748,2
EXR,Extra Space Storage,Real Estate,0.0007022817023040434,2
BSX,Boston Scientific,Health Care,0.0006977827213827715,2
