symbol,name,sector,impact,first_hop
COF,Capital One,Financials,0.0035219445298199617,1
YUM,Yum! Brands,Consumer Discretionary,0.0035200553904108953,1
CCL,Carnival,Consumer Discretionary,0.0034956180455853565,1
ROL,"Rollins, Inc.",Industrials,0.0034830725809239863,1
MCK,McKesson Corporation,Health Care,0.0034815700569874476,1
HPE,Hewlett Packard Enterprise,Information Technology,0.0034415390413468135,1
JBL,Jabil,Information Technology,0.003424490714669777,1
ADI,Analog Devices,Information Technology,0.003414763093043578,1
EMR,Emerson Electric,Industrials,0.0033788739664103325,1
QCOM,Qualcomm,Information Technology,0.003365522963455102,1
AMD,Advanced Micro Devices,Information Technology,0.0033412869564594374,1
LMT,Lockheed Martin,Industrials,0.0033386362197465793,1
LIN,Linde plc,Materials,0.0033336077092314437,1
TRV,Travelers Companies (The),Financials,0.0033034312931399415,1
AVB,AvalonBay Communities,Real Estate,0.0032666730327828904,1
EQR,Equity Residential,Real Estate,0.003253652988302566,1
AZO,AutoZone,Consumer Discretionary,0.0032097573345924346,1
UAL,United Airlines Holdings,Industrials,0.0032035289460432674,1
IVZ,Invesco,Financials,0.0031972576094963707,1
HUBB,Hubbell Incorporated,Industrials,0.003191719945989723,1
DELL,Dell Technologies,Information Technology,0.0031691638343171497,1
DAL,Delta Air Lines,Industrials,0.0031619999788134435,1
ANET,Arista Networks,Information Technology,0.0031317891880972525,1
IBKR,Interactive Brokers,Financials,0.003115428836400923,1
TRMB,Trimble Inc.,Information Technology,0.003096101406117643,1
GS,Goldman Sachs,Financials,0.0030813539487505037,1
WDC,Western Digital,Information Technology,0.0030701820441630164,1
MDT,Medtronic,Health Care,0.0030690957730597464,1
COIN,Coinbase,Financials,0.003056408089361647,1
JKHY,Jack Henry & Associates,Financials,0.0029908546397140025,1
BX,Blackstone Inc.,Financials,0.002889883853424225,1
CIEN,Ciena,Information Technology,0.0028885845480823703,1
ICE,Intercontinental Exchange,Financials,0.0028644405162855063,1
MS,Morgan Stanley,Financials,0.0028618967427366665,1
EME,Emcor,Industrials,0.0028616287765171246,1
TAP,Molson Coors Beverage Company,Consumer Staples,0.0028610001948945222,1
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.00285789144219953,1
GEV,GE Vernova,Industrials,0.0028420934847661417,1
PCG,PG&E Corporation,Utilities,0.002796319912039143,1
DOC,Healthpeak Properties,Real Estate,0.0027955023042093704,1
C,Citigroup,Financials,0.0027909139073240274,1
AXP,American Express,Financials,0.0027825821081281124,1
KEYS,Keysight Technologies,Information Technology,0.0027638592123288112,1
APH,Amphenol,Information Technology,0.002661625419404386,1
TJX,TJX Companies,Consumer Discretionary,0.0026611905212360334,1
ADP,Automatic Data Processing,Industrials,0.002655711510173882,1
MNST,Monster Beverage,Consumer Staples,0.0026529443241718517,1
RL,Ralph Lauren Corporation,Consumer Discretionary,0.0026509030827025814,1
HCA,HCA Healthcare,Health Care,0.0026423879238647377,1
CAH,Cardinal Health,Health Care,0.00262211337632958,1
EIX,Edison International,Utilities,0.002590031756410348,1
CINF,Cincinnati Financial,Financials,0.002588678408934182,1
CDNS,Cadence Design Systems,Information Technology,0.002584939300898061,1
SYY,Sysco,Consumer Staples,0.0025753937546501853,1
FRT,Federal Realty Investment Trust,Real Estate,0.0025750517741783274,1
KVUE,Kenvue,Consumer Staples,0.0025711235198489727,1
CFG,Citizens Financial Group,Financials,0.002568947753567055,1
VST,Vistra Corp.,Utilities,0.0025668265080787036,1
KIM,Kimco Realty,Real Estate,0.00256240370551926,1
SRE,Sempra,Utilities,0.002515819633395838,1
CAT,Caterpillar Inc.,Industrials,0.002509928522569087,1
ABBV,AbbVie,Health Care,0.0025008923917899406,1
CVNA,Carvana,Consumer Discretionary,0.002473280470717514,1
EXR,Extra Space Storage,Real Estate,0.002397474276314868,1
RCL,Royal Caribbean Group,Consumer Discretionary,0.0023626353423418195,1
COST,Costco,Consumer Staples,0.0023506110754658955,1
ERIE,Erie Indemnity,Financials,0.002350399884441547,1
KEY,KeyCorp,Financials,0.0023277021414810236,1
LHX,L3Harris,Industrials,0.002322864748711416,1
WMT,Walmart,Consumer Staples,0.0022700254833467465,1
CI,Cigna,Health Care,0.0022699238116464073,1
ESS,Essex Property Trust,Real Estate,0.002266264658085294,1
URI,United Rentals,Industrials,0.0022255651459825365,1
SWK,Stanley Black & Decker,Industrials,0.002214302040282149,1
