metric,point_estimate,boot_mean,boot_std,ci_lower,ci_upper,p_value,test,n_valid
sigma,4.556287162866078,4.151976287660334,0.43702770769613103,3.3896491483885334,5.149088216142365,0.0,H₀: σ ≤ 1 (not small-world),200
modularity,0.27200293594748903,0.27200293594748903,0.04502960284687067,0.1973210784944142,0.365085392452642,0.0,H₀: Q ≤ 0 (no community structure),200
nmi,0.36123962743398635,0.36123962743398635,0.03335769992694058,0.28983725371484065,0.4222681310098526,,—,200
gamma,2.1438132915691828,2.1438132915691828,0.5805723715282477,1.509136289700372,2.9963081195792185,,—,200
clustering,0.643071584781752,0.5445096708568369,0.02560088538796096,0.4972259260932726,0.5956877715458802,,—,200
avg_path_length,2.7034096356663473,2.5893849461459526,0.11683245810503892,2.3772471671966446,2.811640705997807,,—,200
