clustering,avg_path_length,sigma,modularity,nmi,gamma,bootstrap_id
0.5107718517596612,2.5953986231401287,4.607273269009225,0.32348917702353797,0.39049290268601544,2.77036861947718,0
0.5292279796674152,2.6188282061706647,3.811499121770368,0.24096776938889702,0.33004139324729503,2.9409309015653804,1
0.4999653406869536,2.786699976207471,5.14475903944765,0.3570674865756726,0.42282810869430953,1.9211325338618208,2
0.5292517119922714,2.7456187700169132,4.62219868148103,0.29963002484209245,0.4125742321255859,1.7242672600334399,3
0.5016494766423293,2.806948077543269,4.612934692784433,0.33148201731659754,0.3544882469605505,2.9734850121849083,4
0.5488241958990411,2.530610788485384,3.7763732692531553,0.25955881718886714,0.3453211377179312,1.6611352452478874,5
0.5388831587860882,2.7766339061842276,4.263137504959287,0.29578258368316984,0.4098052206219873,1.700344394202206,6
0.5393304960240688,2.571179473280029,4.3063352862578705,0.27238444721421134,0.3634129262807321,2.1100797045628212,7
0.5380592623590105,2.590557414804419,3.88385621076875,0.24357387652663642,0.41401597548741287,2.9402100121977894,8
0.542421160857103,2.639641212745035,4.091825726869375,0.294816365317887,0.33635583786336654,1.773110153520082,9
0.5275775625453986,2.534996534996535,4.359074641152904,0.30694465459792053,0.3145220092547004,2.5923568463496345,10
0.5514522437294721,2.5148794816889035,4.0526621843965325,0.26234866709669274,0.347178003041234,2.992959612382903,11
0.5663704091952094,2.561733059843823,3.6257959995502467,0.21726205384941538,0.3444540546485471,1.6541783874078058,12
0.5534662559298031,2.5427038740024313,3.981893523666994,0.25566803947095257,0.37056769330113176,1.6823041710939508,13
0.5907183752432089,2.4151965562753945,3.3058946473789224,0.20000992358352748,0.3076272237980784,2.949073923984935,14
0.565191647017704,2.4304565162862364,3.431087512994062,0.20561967020055458,0.33030582944581705,1.5971899769847604,15
0.5750317656654931,2.3988604732080723,3.5442460806660785,0.21026360303556849,0.30833217379902517,1.5610030568823055,16
0.5611184214432727,2.476349030178109,3.8343899865225968,0.24167811245125964,0.37054325055232584,2.5939497604210247,17
0.5241211419325666,2.6369377939855188,4.473610800722645,0.29236903873273495,0.32263563294985387,1.6942275736774994,18
0.5430562720990988,2.5127298571377166,3.9116228543284888,0.25878902437955364,0.3957717536875069,1.665769867295062,19
0.5470978665320146,2.7229778160867397,4.291127041096564,0.29421716894052574,0.39628836813516366,2.961387343408914,20
0.49752676511346106,2.8808419906546296,5.1353861725154015,0.35940171160301954,0.3994541627314298,1.8718494231597447,21
0.5272792721922388,2.5867697199731645,4.571155059173781,0.29535095516260246,0.3654716451807202,1.8428216112872136,22
0.5617504844812895,2.56,3.9850879374861963,0.24707123793368047,0.392633288465121,1.599458428216356,23
0.5328380513979114,2.6310104374861205,4.2577619543806176,0.263424320180756,0.32372825828678464,2.8825106004451566,24
0.5299462168217007,2.509428191010832,4.046673470267795,0.286016270321705,0.3498737994332388,1.7540215054088992,25
